name,id,lat,lon,capacity
"Grafton Street, Mayfair",53,51.5099923,-0.143495266,18
"Golden Lane, Barbican",54,51.52174785,-0.094475072,27
"Finsbury Circus, Liverpool Street",55,51.51707521,-0.086685542,33
"Paddington Street, Marylebone",56,51.52058381,-0.154701411,15
"Guilford Street , Bloomsbury",57,51.52334672,-0.120202614,32
"New Inn Yard, Shoreditch",58,51.52452699,-0.079248081,20
"Lisson Grove, St. John's Wood",60,51.52644828,-0.172190727,18
"Great Dover Street, The Borough",61,51.49738251,-0.089446947,33
"Cotton Garden Estate, Kennington",62,51.4907579,-0.106323685,24
"Murray Grove , Hoxton",63,51.53089041,-0.089782579,27
"William IV Street, Strand",64,51.50946212,-0.124749274,25
"Gower Place , Euston",65,51.52522753,-0.13518856,17
"Holborn Circus, Holborn",66,51.51795029,-0.108657431,40
"Hatton Garden, Holborn",67,51.51882555,-0.108028472,28
"Theobald's Road , Holborn",68,51.52059681,-0.116688468,26
"Euston Road, Euston",69,51.5262363,-0.134407652,24
"Calshot Street , King's Cross",70,51.53136059,-0.117069978,24
"Newgate Street , St. Paul's",71,51.5154186,-0.098850915,34
"Farringdon Lane, Clerkenwell",72,51.52352001,-0.108340165,16
"Old Street Station, St. Luke's",73,51.52572618,-0.088486188,37
"Vauxhall Cross, Vauxhall",74,51.48591714,-0.124469948,17
"Torrens Street, Angel",75,51.53219984,-0.105480698,19
"Longford Street, The Regent's Park",76,51.52559505,-0.144083893,21
"Russell Square Station, Bloomsbury",77,51.52341837,-0.124121774,26
"Sadlers Sports Centre, Finsbury",78,51.52486887,-0.099489485,17
"Webber Street , Southwark",80,51.50069361,-0.102091246,44
"Great Titchfield Street, Fitzrovia",81,51.52025302,-0.141327271,19
"Chancery Lane, Holborn",82,51.514274,-0.111257,15
"Panton Street, West End",83,51.50963938,-0.131510949,21
"Breams Buildings, Holborn",84,51.51593725,-0.111778348,25
"Tanner Street, Bermondsey",85,51.50064702,-0.078600401,40
"Sancroft Street, Vauxhall",86,51.48947903,-0.115156562,24
"Devonshire Square, Liverpool Street",87,51.51646835,-0.079684557,16
"Bayley Street , Bloomsbury",88,51.51858757,-0.132053392,25
"Tavistock Place, Bloomsbury",89,51.5262503,-0.123509611,19
"Harrington Square 1, Camden Town",90,51.53301907,-0.139174593,27
"Walnut Tree Walk, Vauxhall",91,51.49368637,-0.111014912,20
"Borough Road, Elephant & Castle",92,51.49889832,-0.100440521,41
"Cloudesley Road, Angel",93,51.53440868,-0.109025404,37
